replica,eps_ate,pehe,co2_kg
0,0.053567,0.834823,
1,0.149863,0.811839,
2,0.132365,0.877409,
3,0.38204,1.115424,
4,0.210812,1.272494,
5,0.125749,0.816134,
6,0.291558,0.912293,
7,0.219662,1.10016,
8,0.925334,3.811291,
9,0.016982,1.854515,
10,0.055156,1.236701,
11,0.076978,1.207906,
12,0.881262,5.017658,
13,0.226604,1.105147,
14,0.02162,0.98271,
15,0.018894,0.829527,
16,0.051824,1.23968,
17,0.251079,1.170962,
18,0.153249,0.982292,
19,0.185411,0.979702,
20,0.088818,1.859899,
21,0.292457,1.004771,
22,0.172763,1.536334,
23,0.319296,1.23897,
24,0.228528,0.943907,
25,0.287249,1.906359,
26,0.008467,0.801465,
27,1.329856,7.876637,
28,0.206707,1.148546,
29,0.047034,1.202179,
30,0.243262,1.151357,
31,0.199958,0.770234,
32,0.002305,0.889213,
33,1.175921,7.951415,
34,0.300972,1.32442,
35,0.150863,1.759149,
36,0.625725,2.696127,
37,0.070539,1.1708,
38,0.099404,1.546587,
39,0.013553,1.2346,
40,0.00528,0.798847,
41,0.141819,0.84517,
42,0.00964,1.021035,
43,0.056251,1.305677,
44,0.00821,1.610676,
45,0.020046,1.100692,
46,0.616847,1.541507,
47,0.088648,1.075128,
48,0.042399,2.211452,
49,0.077327,0.950084,
50,0.110308,0.892554,
51,0.243379,1.155343,
52,0.059413,2.32231,
53,0.018855,1.780089,
54,0.098976,0.805784,
55,0.173792,0.839948,
56,0.27224,0.829497,
57,0.426826,1.69896,
58,0.229972,0.814818,
59,0.3041,2.647789,
60,0.131881,0.860676,
61,0.153348,0.845661,
62,0.117559,1.045847,
63,0.146483,1.140221,
64,0.159203,1.412833,
65,0.002374,0.890567,
66,0.055442,0.847842,
67,1.024041,4.615211,
68,0.09538,0.83243,
69,0.073583,0.727642,
70,0.28415,2.040607,
71,0.066872,0.992757,
72,0.172992,0.774864,
73,0.048077,0.852853,
74,0.043243,0.69502,
75,0.076182,1.551315,
76,0.086266,0.756969,
77,0.105784,0.972057,
78,0.011914,0.760969,
79,0.399081,1.08545,
80,0.352132,2.778614,
81,0.324777,2.585545,
82,0.174779,0.961634,
83,0.542513,4.348951,
84,0.400728,2.839422,
85,0.513292,2.808608,
86,0.170315,1.190661,
87,0.076573,0.942239,
88,0.046681,1.150955,
89,0.091342,1.024081,
90,0.334284,1.277954,
91,0.151128,1.464762,
92,0.08218,2.112309,
93,0.014743,0.967683,
94,0.162251,0.946661,
95,0.086029,1.051182,
96,0.126583,1.141791,
97,0.376523,2.265023,
98,0.402249,1.195743,
99,0.276962,1.251403,
100,0.253472,1.061111,
101,0.151438,1.072192,
102,0.092778,0.713429,
103,0.204192,1.031658,
104,0.331767,1.203905,
105,0.074335,0.928038,
106,0.071165,0.73616,
107,0.615122,4.847319,
108,0.054243,1.398891,
109,0.063052,1.316569,
110,0.443622,1.802043,
111,0.20912,1.552886,
112,0.406682,1.622394,
113,0.059059,0.753826,
114,0.061232,1.532985,
115,0.157245,0.933768,
116,0.140311,1.372522,
117,0.045044,0.864903,
118,0.369366,2.281437,
119,0.168082,1.675378,
120,0.209484,0.992263,
121,0.231015,0.975859,
122,0.316645,0.952331,
123,0.106803,1.516643,
124,0.164758,1.087168,
125,0.402849,1.996985,
126,0.391696,1.704776,
127,0.412081,1.045788,
128,0.005638,1.457282,
129,0.895846,4.221722,
130,0.054357,0.731875,
131,0.396071,1.987779,
132,0.413618,4.418551,
133,0.565793,1.740096,
134,0.252277,0.946223,
135,0.02852,1.500535,
136,0.190555,2.781341,
137,0.242362,0.987485,
138,0.223991,1.10611,
139,0.138718,0.873809,
140,0.067209,1.195365,
141,0.205168,1.380922,
142,0.672268,4.268011,
143,0.031962,1.019184,
144,0.085436,1.194286,
145,0.061588,1.37639,
146,0.562752,2.689751,
147,0.081904,1.180557,
148,0.223552,3.481101,
149,0.109373,0.794912,
150,0.270769,1.153445,
151,0.063679,1.428834,
152,0.081429,1.123278,
153,0.243994,1.153385,
154,0.006567,1.398005,
155,0.079817,1.169273,
156,0.849937,2.503515,
157,0.256898,2.104208,
158,0.459395,0.792138,
159,0.104542,1.890538,
160,0.14136,0.942803,
161,0.014203,0.970711,
162,0.162835,1.223172,
163,0.221564,0.952988,
164,0.212314,1.604103,
165,0.286328,1.832832,
166,0.253637,1.095057,
167,0.064461,1.237235,
168,0.008954,0.770516,
169,0.165428,1.358853,
170,0.030859,1.194629,
171,0.062005,0.991,
172,0.21117,1.036656,
173,0.037365,1.119924,
174,0.21211,0.927689,
175,0.073754,1.312154,
176,0.107934,1.62411,
177,0.380514,0.994141,
178,0.440751,1.291103,
179,0.229761,2.161944,
180,0.406164,2.509676,
181,0.255934,0.816152,
182,0.190874,0.798216,
183,0.059803,1.771537,
184,0.287337,0.665549,
185,0.092697,0.660095,
186,0.076856,1.844451,
187,0.027105,1.103057,
188,0.203546,1.420229,
189,0.094739,1.05231,
190,0.087926,0.887966,
191,0.135388,0.992234,
192,0.019194,1.042956,
193,0.208906,1.086306,
194,0.019088,1.304929,
195,0.101077,1.155016,
196,0.020689,1.07793,
197,0.230217,1.148224,
198,0.024737,1.699742,
199,0.466892,1.102119,
200,0.09462,1.063517,
201,0.011673,0.794285,
202,0.024655,0.786334,
203,0.066365,1.060781,
204,0.032427,1.033223,
205,0.111928,0.885613,
206,0.171965,0.862933,
207,0.246339,1.244222,
208,0.617247,2.459025,
209,1.077498,3.961414,
210,0.17326,1.652177,
211,0.01436,0.748021,
212,0.138713,0.850124,
213,0.160496,0.74627,
214,0.32972,1.033851,
215,0.198654,1.033511,
216,0.164336,1.112333,
217,0.322808,2.281598,
218,2.224281,9.807182,
219,0.347831,2.139028,
220,0.23514,0.770385,
221,0.167838,1.047214,
222,0.34577,0.665669,
223,0.337484,0.996468,
224,0.2456,1.494627,
225,0.598607,1.610496,
226,0.119018,0.819407,
227,0.03937,1.175738,
228,0.198351,1.550716,
229,0.368932,1.203658,
230,0.249108,1.757624,
231,0.194501,1.169435,
232,0.149663,0.98353,
233,0.104856,0.980383,
234,0.109404,1.943059,
235,0.041905,0.797704,
236,0.068017,1.358851,
237,0.086054,0.963801,
238,0.01752,0.986586,
239,0.065565,1.337928,
240,0.245738,0.97207,
241,0.093783,0.908662,
242,0.457889,1.444281,
243,0.027541,1.567925,
244,1.682503,5.750099,
245,0.002181,1.223566,
246,0.118804,0.878147,
247,0.382265,1.027574,
248,0.663412,1.762681,
249,0.399198,1.219632,
250,0.170246,0.981845,
251,0.07044,0.990699,
252,0.021,0.84925,
253,0.633928,3.798185,
254,0.640305,6.873989,
255,0.278842,1.030567,
256,0.823302,3.650002,
257,0.194211,0.866205,
258,0.13027,0.850617,
259,0.102056,0.707277,
260,0.077655,1.177691,
261,0.011182,1.763315,
262,0.324388,0.834621,
263,0.308408,1.388651,
264,0.061462,1.121552,
265,0.085531,1.273584,
266,0.332718,2.198497,
267,0.311002,0.944923,
268,0.131657,1.247914,
269,0.181193,0.738468,
270,0.148236,1.052876,
271,0.12779,0.732248,
272,0.007297,1.22535,
273,0.383137,1.039939,
274,0.164176,1.027078,
275,0.415893,3.73784,
276,0.200298,1.665629,
277,0.056999,0.774659,
278,0.385569,1.180409,
279,0.435442,1.511442,
280,1.08593,2.712881,
281,0.943955,2.418704,
282,0.17174,2.181827,
283,0.436247,1.356881,
284,0.107222,0.810064,
285,0.033901,1.176291,
286,0.015444,0.917441,
287,0.187364,1.330767,
288,0.021824,0.969087,
289,0.069702,0.894562,
290,0.290441,1.254038,
291,0.073713,1.157688,
292,0.098274,1.708505,
293,0.003473,0.787803,
294,0.41464,0.94125,
295,0.202902,2.326319,
296,0.137337,0.864569,
297,0.152203,1.331176,
298,0.470253,0.858894,
299,0.433424,1.064365,
300,0.032395,0.881751,
301,0.202774,1.242568,
302,0.128913,1.423448,
303,0.08294,0.819616,
304,0.108212,1.104355,
305,0.198823,1.070331,
306,0.155514,1.250132,
307,0.140498,2.585772,
308,0.044805,0.956511,
309,0.426739,2.129422,
310,0.2966,2.513804,
311,0.32924,3.869015,
312,0.076635,0.902289,
313,0.141926,1.469097,
314,0.107657,1.437014,
315,0.016979,1.815934,
316,0.080121,1.206526,
317,0.28092,0.985527,
318,0.30706,1.865383,
319,0.217482,3.1152,
320,0.185557,1.343699,
321,0.011231,1.158331,
322,0.078221,2.120465,
323,0.522111,1.140741,
324,0.137853,0.907785,
325,0.456267,1.127349,
326,0.024169,1.392889,
327,0.040551,1.543092,
328,0.235765,4.293969,
329,0.535208,2.634143,
330,0.18622,1.447235,
331,0.289287,1.170861,
332,0.303343,1.698598,
333,0.258306,0.903805,
334,0.238313,1.612576,
335,0.071258,1.108843,
336,0.128677,1.693947,
337,0.07213,2.504193,
338,0.350101,1.195042,
339,0.182745,1.051846,
340,0.803748,4.629051,
341,0.129721,0.938619,
342,0.009405,1.304231,
343,0.120935,2.478557,
344,1.351764,8.032223,
345,0.361436,4.505385,
346,0.0208,1.524113,
347,0.412837,1.922872,
348,0.225852,1.063837,
349,0.029922,1.75019,
350,0.339529,2.326397,
351,0.005139,1.245903,
352,0.054493,1.099157,
353,0.085296,1.952771,
354,0.041504,1.037945,
355,0.248793,0.798215,
356,0.30621,3.277008,
357,0.046831,0.802119,
358,0.031015,1.034719,
359,0.136428,0.847581,
360,0.44101,3.123219,
361,0.002341,3.799475,
362,0.199166,1.237864,
363,0.119909,0.895543,
364,0.177676,0.842248,
365,0.135527,1.618565,
366,0.380881,1.138018,
367,0.022581,0.885877,
368,0.249288,0.752629,
369,0.03679,1.552987,
370,0.008083,1.427489,
371,0.046385,0.921012,
372,0.058776,1.275975,
373,0.375551,2.366088,
374,0.015594,0.944329,
375,0.131023,1.173316,
376,0.242197,1.217348,
377,0.106133,0.964741,
378,0.369728,0.934034,
379,0.1116,0.987296,
380,0.085831,0.989115,
381,0.417769,1.151391,
382,0.299614,2.317565,
383,0.181816,0.680968,
384,0.480061,1.788041,
385,0.704162,3.782863,
386,0.918388,5.270055,
387,0.221596,1.025965,
388,0.102211,1.060134,
389,0.056814,1.313615,
390,0.00524,1.512649,
391,0.342693,1.390661,
392,0.173074,1.699975,
393,0.138252,1.329846,
394,0.054941,0.768316,
395,0.399942,0.763261,
396,0.02343,1.095173,
397,0.367857,1.19069,
398,0.37616,0.999816,
399,0.2642,1.491955,
400,0.260779,1.536469,
401,0.151154,2.531948,
402,0.354971,0.969146,
403,0.043155,0.798818,
404,0.074527,1.015323,
405,0.141836,0.903537,
406,0.04008,0.817163,
407,0.072322,1.08665,
408,0.169067,1.381528,
409,0.23605,1.372244,
410,0.182299,1.58364,
411,0.349697,0.799822,
412,0.080453,1.410456,
413,0.371834,1.402357,
414,0.357601,1.270132,
415,0.635406,4.195545,
416,0.023512,0.872074,
417,0.100397,0.958918,
418,0.025105,1.641853,
419,0.271559,1.075574,
420,0.023055,0.903363,
421,0.155597,1.537317,
422,0.183908,0.942729,
423,0.043264,0.945923,
424,0.004272,0.707161,
425,0.028821,0.914323,
426,0.121404,1.235529,
427,0.177361,1.836453,
428,0.116854,1.411818,
429,0.167235,0.885033,
430,0.290409,1.543211,
431,0.086159,1.232931,
432,0.258559,1.001747,
433,0.442628,1.482794,
434,0.971604,6.916617,
435,0.046942,0.910419,
436,0.131015,1.56664,
437,0.816093,2.510399,
438,0.068968,1.56755,
439,0.215528,2.371319,
440,0.638818,3.179246,
441,0.32468,1.028041,
442,0.095348,1.172176,
443,0.265018,1.27566,
444,0.445934,1.343147,
445,0.06511,1.608918,
446,0.099761,1.38884,
447,0.066199,1.019178,
448,0.290871,1.82276,
449,0.05847,0.932015,
450,0.137265,1.535859,
451,0.116622,1.049863,
452,0.003018,1.233146,
453,0.198748,0.800128,
454,0.083012,1.314017,
455,0.257226,1.434415,
456,0.220234,0.634193,
457,0.231514,1.257197,
458,0.165771,1.421946,
459,0.120001,0.939791,
460,0.074631,0.96789,
461,0.164031,1.29183,
462,0.091728,1.126742,
463,0.238889,0.883498,
464,0.058682,1.156111,
465,0.297067,1.058308,
466,0.159876,1.493397,
467,0.129206,0.751698,
468,0.552128,3.801291,
469,0.135339,1.041754,
470,0.223756,1.228419,
471,0.354173,1.380288,
472,0.09653,1.13102,
473,1.653993,5.139071,
474,0.637042,6.056927,
475,0.353781,4.327993,
476,0.149441,1.026207,
477,0.036789,0.883221,
478,0.333418,1.022324,
479,0.515118,1.258643,
480,0.978896,4.007248,
481,0.112043,1.401485,
482,0.491095,2.514523,
483,0.035876,1.399497,
484,0.127228,0.880231,
485,0.595395,1.13125,
486,0.174224,1.213957,
487,0.102019,1.135535,
488,0.200761,0.797958,
489,0.407182,1.915286,
490,0.223654,0.932492,
491,0.216874,1.332749,
492,0.1627,1.360694,
493,0.229685,1.190983,
494,0.070904,1.254058,
495,0.307926,0.867452,
496,0.18057,1.096134,
497,0.117348,0.80588,
498,0.042165,1.288597,
499,0.493433,2.01649,
500,0.223039,0.710479,
501,0.013211,0.992957,
502,0.046582,0.782111,
503,0.153054,0.943266,
504,0.118468,1.312735,
505,0.050065,0.756921,
506,0.390258,2.073674,
507,0.02484,1.037794,
508,0.118091,1.23068,
509,0.448265,1.448289,
510,0.009867,0.735227,
511,1.020847,4.569283,
512,0.134554,1.539999,
513,0.095163,2.063637,
514,1.007497,4.852057,
515,0.377956,1.269885,
516,0.751215,3.977613,
517,0.137103,1.165683,
518,0.005558,1.263111,
519,0.005873,0.777127,
520,0.140999,0.758957,
521,0.274026,1.028806,
522,0.156537,2.241853,
523,0.106074,0.950631,
524,0.188558,1.8141,
525,0.009934,0.776817,
526,0.27898,1.085264,
527,0.056339,0.882848,
528,0.133143,1.080409,
529,0.035542,1.021639,
530,0.076706,1.261479,
531,0.153315,1.194185,
532,0.018386,0.928744,
533,0.018013,0.938161,
534,0.028844,1.349457,
535,0.022356,1.980905,
536,0.503171,2.368448,
537,0.419109,1.077328,
538,0.034853,1.573301,
539,0.019072,0.971561,
540,0.088778,0.721882,
541,0.440858,3.911007,
542,0.015885,1.049286,
543,0.179786,0.772697,
544,0.392374,1.484333,
545,0.170762,1.191323,
546,0.197107,1.129453,
547,0.439633,1.060645,
548,0.014093,1.193077,
549,0.277178,1.071546,
